station_id,station_name,district,address,latitude,longitude,x_meter,y_meter,cluster_id,cluster_label,distance_to_centroid_m,rental_count,meaningful_coordinate_movement,max_distance_m,active_month_count,first_active_month,last_active_month
1193,마곡센트럴타워 1차,강서구,강서구 마곡동 727-1136,37.55947113,126.83207703,-14113.81555325543,1306.5539646342995,0,cluster_0,6809.523261088522,81531,False,0.0026443975728871,24,2023-01,2024-12
1194,센서텍㈜,강서구,강서구 마곡동 727-457,37.56330109,126.8368225,-13695.452750973,1732.4260858859118,0,cluster_0,6686.162124072334,10931,False,0.0,7,2023-01,2023-07
1195,코오롱One&Only타워,강서구,강서구 마곡동 727-525,37.56412888,126.83431244,-13916.740786825578,1824.472134213143,0,cluster_0,6920.368367087591,58214,False,0.0035256422606301,24,2023-01,2024-12
1196,서울식물원(문화센터) 건너편,강서구,강서구 마곡동 727-286,37.56824112,126.83583069,-13782.891173496782,2281.7323593579404,0,cluster_0,7084.522566968606,10311,False,0.0008813635905764,24,2023-01,2024-12
1197,엠펠리체 호텔 건너편,강서구,강서구 마곡동 727-1187,37.5602417,126.8358078,-13784.909166349513,1392.237439258867,0,cluster_0,6572.2713273381205,62559,False,0.0,24,2023-01,2024-12
1198,LG 사이언스파크,강서구,강서구 마곡동 727-925,37.56254959,126.82743835,-14522.763700372987,1648.863098513145,0,cluster_0,7335.55565826551,31654,False,0.00440714793355,24,2023-01,2024-12
1199,우장산역 3번출구,강서구,강서구 화곡동 1006-2,37.54782104,126.83612823,-13756.659911219082,11.12306168177668,0,cluster_0,5926.228384834451,43521,False,0.0026448109910551,24,2023-01,2024-12
120,신수동 사거리,마포구,서울특별시 마포구 토정로 211,37.54524231,126.93411255,-5118.317514147331,-275.6186315040586,0,cluster_0,3604.491355839495,11428,False,0.0044081693141019,24,2023-01,2024-12
1200,개화광역환승센터,강서구,강서구 개화동 492-22,37.57844925,126.79897308,-17032.274902625093,3416.824625885603,0,cluster_0,10399.04245396298,7863,False,0.0017624833315608,24,2023-01,2024-12
121,마포소방서 앞,마포구,서울특별시 마포구 창전로 76,37.54976654,126.93317413,-5201.049049889604,227.45279146898056,0,cluster_0,3818.686651080786,19109,False,0.0026447419601337,24,2023-01,2024-12
122,신성기사식당 앞,마포구,서울특별시 마포구 독막로 223-1,37.54745865,126.93837738,-4742.3281537540115,-29.17286778458994,0,cluster_0,4053.6108458394438,19375,False,0.0017632144039784,24,2023-01,2024-12
124,서강대 정문 건너편,마포구,서울특별시 마포구 서강로16길 72,37.55113983,126.93698883,-4864.743355854761,380.1556722801658,0,cluster_0,4179.016105797136,26277,False,0.0026446932307347,24,2023-01,2024-12
125,서강대 남문 옆,마포구,서울특별시 마포구 백범로 35,37.54948425,126.9389496,-4691.8809772435325,196.0635756264112,0,cluster_0,4215.7582332200245,9752,False,0.0,10,2023-01,2023-10
126,서강대 후문 옆,마포구,서울특별시 마포구 대흥로 122,37.55041122,126.94384766,-4260.065770878081,299.13793677791654,0,cluster_0,4636.125063248342,23222,False,0.0035262913652247,24,2023-01,2024-12
127,현대벤처빌 앞,마포구,서울특별시 마포구 백범로 10,37.5535202,126.93695068,-4868.106677278223,644.8407398174522,0,cluster_0,4339.2206363901505,6480,False,0.0017630732562198,24,2023-01,2024-12
128,신촌역(2호선) 1번출구 옆,서대문구,서울특별시 서대문구 연세로 3-5,37.55549622,126.93634033,-4921.915412001722,864.5641387660538,0,cluster_0,4441.709749456326,25776,False,0.0026445386398807,24,2023-01,2024-12
129,신촌역(2호선) 6번출구 옆,마포구,서울특별시 마포구 신촌로 106,37.55505371,126.93756866,-4813.625278268238,815.3592717764146,0,cluster_0,4490.567297171419,19755,False,0.0035260717103266,24,2023-01,2024-12
130,신촌역(2호선) 7번출구 앞,마포구,서울특별시 마포구 신촌로 94,37.55485916,126.93615723,-4938.057591615377,793.7262987971991,0,cluster_0,4382.507087421937,50563,False,0.0026445612475461,24,2023-01,2024-12
131,증산2교,서대문구,서울특별시 서대문구 증가로 264,37.5841713,126.91110229,-7146.912543696095,4053.0875558925036,0,cluster_0,6254.269870340965,52839,False,0.0008811728174788,24,2023-01,2024-12
133,해담는다리,서대문구,서울특별시 서대문구 불광천길 150,37.58203125,126.90899658,-7332.552898897901,3815.1248531267915,0,cluster_0,5989.614337034131,52066,False,0.001762398539175,24,2023-01,2024-12
134,연세로 명물길,서대문구,서울특별시 서대문구 명물길 33,37.55789185,126.93807983,-4768.56029763581,1130.9460408829782,0,cluster_0,4734.89322100476,18669,False,0.0026444536220401,24,2023-01,2024-12
135,명물길 원형무대 앞,서대문구,서대문구 창천동 31-69,37.55922699,126.93984222,-4613.187190414921,1279.4068352433005,0,cluster_0,4949.782881592614,14579,False,0.0017629382393657,24,2023-01,2024-12
137,신촌기차역입구 교차로,서대문구,서울특별시 서대문구 연세로2다길 58,37.55681229,126.9431839,-4318.58315559353,1010.9044458752829,0,cluster_0,4996.665813168836,11239,False,0.0,24,2023-01,2024-12
138,신촌동 제1공영주차장 앞,서대문구,서울특별시 서대문구 증가로 264,37.5591774,126.93452454,-5081.996287605974,1273.8926788315168,0,cluster_0,4615.067941936153,15773,False,0.0035258765825318,24,2023-01,2024-12
139,연세대 정문 건너편,서대문구,서울특별시 서대문구 연세로 42,37.55986404,126.93441772,-5091.413587587632,1350.2435632620638,0,cluster_0,4664.981357900401,8045,False,0.0017629231663247,24,2023-01,2024-12
140,이화여대 후문,서대문구,서울특별시 서대문구 연세로 50-1,37.560009,126.94073486,-4534.491640378112,1366.3623798287886,0,cluster_0,5066.681213757827,18001,False,0.0035258349872353,24,2023-01,2024-12
141,연대 대운동장 옆,서대문구,서울특별시 서대문구 연세로 50,37.56238174,126.93264771,-5247.458477486421,1630.199030075195,0,cluster_0,4777.446380113719,14556,False,0.0008814306754635,24,2023-01,2024-12
142,아현역 4번출구 앞,마포구,서울특별시 마포구 아현동 329-15,37.55720139,126.95566559,-3218.191665259756,1054.1703918322994,0,cluster_0,5919.50038452168,16674,False,0.000881494203957,24,2023-01,2024-12
143,공덕역 2번출구,마포구,서울특별시 마포구 공덕동 257-88,37.54457855,126.9502182,-3698.436055282954,-349.4253760141791,0,cluster_0,4853.648354236978,29751,False,0.0,24,2023-01,2024-12
144,공덕역 8번출구,마포구,서울특별시 마포구 공덕동 438-5,37.5435791,126.95132446,-3600.907668495515,-460.55914544869313,0,cluster_0,4906.2500026761145,67821,False,0.0035266145782305,23,2023-01,2024-11
145,공덕역 5번출구,마포구,서울특별시 마포구 공덕동 237-9,37.54425049,126.95163727,-3573.3301960452286,-385.9039836484001,0,cluster_0,4957.670854109193,28095,False,0.0026449354313456,24,2023-01,2024-12
146,마포역 2번출구 뒤,마포구,서울특별시 마포구 도화동 555-2,37.53993607,126.94582367,-4085.859826906564,-865.6455990625859,0,cluster_0,4318.9731115904415,66372,False,0.0026450907371333,24,2023-01,2024-12
147,마포역 4번출구 뒤,마포구,서울특별시 마포구 도화동 292-29,37.53927231,126.94591522,-4077.788737097494,-939.452343571999,0,cluster_0,4306.09083329342,74042,False,0.0017634102704736,24,2023-01,2024-12
148,용강동 주민센터 앞,마포구,서울특별시 마포구 용강동 234-1,37.54234695,126.94302368,-4332.7082239585525,-597.5679743132857,0,cluster_0,4172.5658114258795,40965,False,0.0017633353099617,24,2023-01,2024-12
150,서강대역 2번출구 앞,마포구,서울특별시 마포구 노고산동 112-13,37.55295563,126.93434143,-5098.139348825971,582.0634200816976,0,cluster_0,4122.731516503312,32400,False,0.0026446287971148,24,2023-01,2024-12
153,성산2교 사거리,마포구,서울특별시 마포구 성산동 54-17,37.56469727,126.91261292,-7013.7347130452,1887.6742185690296,0,cluster_0,4174.482647717119,51509,False,0.0017628088016808,24,2023-01,2024-12
