datetime,cluster_id,cluster_label,rental_count,year_month
2023-01-07 00:00:00,2,cluster_2,163,2023-01
2023-01-07 01:00:00,0,cluster_0,398,2023-01
2023-01-07 01:00:00,1,cluster_1,165,2023-01
2023-01-07 01:00:00,2,cluster_2,204,2023-01
2023-01-07 02:00:00,0,cluster_0,329,2023-01
2023-01-07 02:00:00,1,cluster_1,153,2023-01
2023-01-07 02:00:00,2,cluster_2,159,2023-01
2023-01-07 03:00:00,0,cluster_0,224,2023-01
2023-01-07 03:00:00,1,cluster_1,127,2023-01
2023-01-07 03:00:00,2,cluster_2,108,2023-01
2023-01-07 04:00:00,0,cluster_0,141,2023-01
2023-01-07 04:00:00,1,cluster_1,66,2023-01
2023-01-07 04:00:00,2,cluster_2,64,2023-01
2023-01-07 05:00:00,0,cluster_0,206,2023-01
2023-01-07 05:00:00,1,cluster_1,48,2023-01
2023-01-07 05:00:00,2,cluster_2,60,2023-01
2023-01-07 06:00:00,0,cluster_0,240,2023-01
2023-01-07 06:00:00,1,cluster_1,73,2023-01
2023-01-07 06:00:00,2,cluster_2,121,2023-01
2023-01-07 07:00:00,0,cluster_0,338,2023-01
2023-01-07 07:00:00,1,cluster_1,132,2023-01
2023-01-07 07:00:00,2,cluster_2,173,2023-01
2023-01-07 08:00:00,0,cluster_0,731,2023-01
2023-01-07 08:00:00,1,cluster_1,266,2023-01
2023-01-07 08:00:00,2,cluster_2,301,2023-01
2023-01-07 09:00:00,0,cluster_0,1042,2023-01
2023-01-07 09:00:00,1,cluster_1,354,2023-01
2023-01-07 09:00:00,2,cluster_2,462,2023-01
2023-01-07 10:00:00,0,cluster_0,1074,2023-01
2023-01-07 10:00:00,1,cluster_1,365,2023-01
2023-01-07 10:00:00,2,cluster_2,408,2023-01
2023-01-07 11:00:00,0,cluster_0,1178,2023-01
2023-01-07 11:00:00,1,cluster_1,465,2023-01
2023-01-07 11:00:00,2,cluster_2,538,2023-01
2023-01-07 12:00:00,0,cluster_0,1370,2023-01
2023-01-07 12:00:00,1,cluster_1,584,2023-01
2023-01-07 12:00:00,2,cluster_2,715,2023-01
2023-01-07 13:00:00,0,cluster_0,1526,2023-01
2023-01-07 13:00:00,1,cluster_1,662,2023-01
2023-01-07 13:00:00,2,cluster_2,695,2023-01
2023-01-07 14:00:00,0,cluster_0,1583,2023-01
2023-01-07 14:00:00,1,cluster_1,693,2023-01
2023-01-07 14:00:00,2,cluster_2,808,2023-01
2023-01-07 15:00:00,0,cluster_0,1642,2023-01
2023-01-07 15:00:00,1,cluster_1,801,2023-01
2023-01-07 15:00:00,2,cluster_2,852,2023-01
2023-01-07 16:00:00,0,cluster_0,1646,2023-01
2023-01-07 16:00:00,1,cluster_1,795,2023-01
2023-01-07 16:00:00,2,cluster_2,948,2023-01
2023-01-07 17:00:00,0,cluster_0,1577,2023-01
2023-01-07 17:00:00,1,cluster_1,801,2023-01
